Year,Month,Year,Quarter,Month,Day,YYYYMM
2022,8,2022,Qtr 3,August,6,202208
2022,8,2022,Qtr 3,August,7,202208
2022,8,2022,Qtr 3,August,8,202208
2022,8,2022,Qtr 3,August,9,202208
2022,8,2022,Qtr 3,August,10,202208
2022,8,2022,Qtr 3,August,11,202208
2022,8,2022,Qtr 3,August,12,202208
2022,8,2022,Qtr 3,August,13,202208
2022,8,2022,Qtr 3,August,14,202208
2022,8,2022,Qtr 3,August,15,202208
2022,8,2022,Qtr 3,August,16,202208
2022,8,2022,Qtr 3,August,17,202208
2022,8,2022,Qtr 3,August,18,202208
2022,8,2022,Qtr 3,August,19,202208
2022,8,2022,Qtr 3,August,20,202208
2022,8,2022,Qtr 3,August,21,202208
2022,8,2022,Qtr 3,August,22,202208
2022,8,2022,Qtr 3,August,23,202208
2022,8,2022,Qtr 3,August,24,202208
2022,8,2022,Qtr 3,August,25,202208
2022,8,2022,Qtr 3,August,26,202208
2022,8,2022,Qtr 3,August,27,202208
2022,8,2022,Qtr 3,August,28,202208
2022,8,2022,Qtr 3,August,29,202208
2022,8,2022,Qtr 3,August,30,202208
2022,8,2022,Qtr 3,August,31,202208
2022,9,2022,Qtr 3,September,1,202209
2022,9,2022,Qtr 3,September,2,202209
2022,9,2022,Qtr 3,September,3,202209
2022,9,2022,Qtr 3,September,4,202209
2022,9,2022,Qtr 3,September,5,202209
2022,9,2022,Qtr 3,September,6,202209
2022,9,2022,Qtr 3,September,7,202209
2022,9,2022,Qtr 3,September,8,202209
2022,9,2022,Qtr 3,September,9,202209
2022,9,2022,Qtr 3,September,10,202209
2022,9,2022,Qtr 3,September,11,202209
2022,9,2022,Qtr 3,September,12,202209
2022,9,2022,Qtr 3,September,13,202209
2022,9,2022,Qtr 3,September,14,202209
2022,9,2022,Qtr 3,September,15,202209
2022,9,2022,Qtr 3,September,16,202209
2022,9,2022,Qtr 3,September,17,202209
2022,9,2022,Qtr 3,September,18,202209
2022,9,2022,Qtr 3,September,19,202209
2022,9,2022,Qtr 3,September,20,202209
2022,9,2022,Qtr 3,September,21,202209
2022,9,2022,Qtr 3,September,22,202209
2022,9,2022,Qtr 3,September,23,202209
2022,9,2022,Qtr 3,September,24,202209
2022,9,2022,Qtr 3,September,25,202209
2022,9,2022,Qtr 3,September,26,202209
2022,9,2022,Qtr 3,September,27,202209
2022,9,2022,Qtr 3,September,28,202209
2022,9,2022,Qtr 3,September,29,202209
2022,9,2022,Qtr 3,September,30,202209
2022,10,2022,Qtr 4,October,1,202210
2022,10,2022,Qtr 4,October,2,202210
2022,10,2022,Qtr 4,October,3,202210
2022,10,2022,Qtr 4,October,4,202210
2022,10,2022,Qtr 4,October,5,202210
2022,10,2022,Qtr 4,October,6,202210
2022,10,2022,Qtr 4,October,7,202210
2022,10,2022,Qtr 4,October,8,202210
2022,10,2022,Qtr 4,October,9,202210
2022,10,2022,Qtr 4,October,10,202210
2022,10,2022,Qtr 4,October,11,202210
2022,10,2022,Qtr 4,October,12,202210
2022,10,2022,Qtr 4,October,13,202210
2022,10,2022,Qtr 4,October,14,202210
2022,10,2022,Qtr 4,October,15,202210
2022,10,2022,Qtr 4,October,16,202210
2022,10,2022,Qtr 4,October,17,202210
2022,10,2022,Qtr 4,October,18,202210
2022,10,2022,Qtr 4,October,19,202210
2022,10,2022,Qtr 4,October,20,202210
2022,10,2022,Qtr 4,October,21,202210
2022,10,2022,Qtr 4,October,22,202210
2022,10,2022,Qtr 4,October,23,202210
2022,10,2022,Qtr 4,October,24,202210
2022,10,2022,Qtr 4,October,25,202210
2022,10,2022,Qtr 4,October,26,202210
2022,10,2022,Qtr 4,October,27,202210
2022,10,2022,Qtr 4,October,28,202210
2022,10,2022,Qtr 4,October,29,202210
2022,10,2022,Qtr 4,October,30,202210
2022,10,2022,Qtr 4,October,31,202210
2022,11,2022,Qtr 4,November,1,202211
2022,11,2022,Qtr 4,November,2,202211
2022,11,2022,Qtr 4,November,3,202211
2022,11,2022,Qtr 4,November,4,202211
2022,11,2022,Qtr 4,November,5,202211
2022,11,2022,Qtr 4,November,6,202211
2022,11,2022,Qtr 4,November,7,202211
2022,11,2022,Qtr 4,November,8,202211
2022,11,2022,Qtr 4,November,9,202211
2022,11,2022,Qtr 4,November,10,202211
2022,11,2022,Qtr 4,November,11,202211
2022,11,2022,Qtr 4,November,12,202211
2022,11,2022,Qtr 4,November,13,202211
2022,11,2022,Qtr 4,November,14,202211
2022,11,2022,Qtr 4,November,15,202211
2022,11,2022,Qtr 4,November,16,202211
2022,11,2022,Qtr 4,November,17,202211
2022,11,2022,Qtr 4,November,18,202211
2022,11,2022,Qtr 4,November,19,202211
2022,11,2022,Qtr 4,November,20,202211
2022,11,2022,Qtr 4,November,21,202211
2022,11,2022,Qtr 4,November,22,202211
2022,11,2022,Qtr 4,November,23,202211
2022,11,2022,Qtr 4,November,24,202211
2022,11,2022,Qtr 4,November,25,202211
2022,11,2022,Qtr 4,November,26,202211
2022,11,2022,Qtr 4,November,27,202211
2022,11,2022,Qtr 4,November,28,202211
